"ALABAMA",1888,"Pertussis",1.0

"ALABAMA",1888,"Typhoid fever",2.0
"CALIFORNIA",1888,"Diphtheria",68.0

"CALIFORNIA",1888,"Pertussis",11.0

"CALIFORNIA",1888,"Scarlet fever",3.0

"CALIFORNIA",1888,"Smallpox",6.0

"CALIFORNIA",1888,"Typhoid fever",82.0

"COLORADO",1888,"Diphtheria",58.0

"COLORADO",1888,"Measles",2.0

"COLORADO",1888,"Pertussis",1.0

"COLORADO",1888,"Typhoid fever",105.0

"COLORADO",1888,"Scarlet fever",8.0

"CONNECTICUT",1888,"Diphtheria",3.0
"CONNECTICUT",1888,"Pertussis",1.0
"CONNECTICUT",1888,"Typhoid fever",13.0
"DISTRICT OF COLUMBIA",1888,"Diphtheria",22.0
"DISTRICT OF COLUMBIA",1888,"Pertussis",75.0
"DISTRICT OF COLUMBIA",1888,"Scarlet fever",2.0
"DISTRICT OF COLUMBIA",1888,"Typhoid fever",87.0
"FLORIDA",1888,"Typhoid fever",3.0
"GEORGIA",1888,"Diphtheria",2.0
"GEORGIA",1888,"Measles",1.0
"GEORGIA",1888,"Pertussis",3.0
"ILLINOIS",1888,"Diphtheria",203.0
"ILLINOIS",1888,"Measles",43.0
"ILLINOIS",1888,"Pertussis",39.0
"ILLINOIS",1888,"Scarlet fever",43.0
"ILLINOIS",1888,"Typhoid fever",127.0
"INDIANA",1888,"Diphtheria",8.0
"INDIANA",1888,"Pertussis",1.0
"INDIANA",1888,"Scarlet fever",4.0
"INDIANA",1888,"Typhoid fever",16.0
"INDIANA",1888,"Typhus group rickettsial disease",2.0
"IOWA",1888,"Diphtheria",51.0
"IOWA",1888,"Pertussis",6.0
"IOWA",1888,"Scarlet fever",3.0
"IOWA",1888,"Typhoid fever",6.0
"KENTUCKY",1888,"Diphtheria",9.0
"KENTUCKY",1888,"Pertussis",1.0
"KENTUCKY",1888,"Typhoid fever",49.0
"KENTUCKY",1888,"Yellow fever",1.0
"LOUISIANA",1888,"Diphtheria",179.0
"LOUISIANA",1888,"Measles",1.0
"LOUISIANA",1888,"Pertussis",23.0
"LOUISIANA",1888,"Scarlet fever",6.0
"LOUISIANA",1888,"Typhoid fever",28.0
"MAINE",1888,"Diphtheria",12.0
"MAINE",1888,"Typhoid fever",4.0
"MASSACHUSETTS",1888,"Diphtheria",173.0
"MASSACHUSETTS",1888,"Measles",8.0
"MASSACHUSETTS",1888,"Pertussis",30.0
"MASSACHUSETTS",1888,"Scarlet fever",27.0
"MASSACHUSETTS",1888,"Typhoid fever",144.0
"MASSACHUSETTS",1888,"Typhus group rickettsial disease",3.0
"MICHIGAN",1888,"Diphtheria",72.0
"MICHIGAN",1888,"Measles",1.0
"MICHIGAN",1888,"Pertussis",16.0
"MICHIGAN",1888,"Scarlet fever",8.0
"MICHIGAN",1888,"Typhoid fever",32.0
"MICHIGAN",1888,"Typhus group rickettsial disease",7.0
"MINNESOTA",1888,"Diphtheria",62.0
"MINNESOTA",1888,"Measles",1.0
"MINNESOTA",1888,"Pertussis",6.0
